id,cp,estado,municipio,localidad,estimlo_ft,time_zone
141,20139,AGU,,,0,America/Mexico_City
142,20140,AGU,1,1,0,America/Mexico_City
143,20141,AGU,,,0,America/Mexico_City
144,20142,AGU,,,0,America/Mexico_City
145,20143,AGU,,,0,America/Mexico_City
146,20144,AGU,,,0,America/Mexico_City
147,20145,AGU,,,0,America/Mexico_City
148,20146,AGU,1,1,0,America/Mexico_City
149,20147,AGU,,,0,America/Mexico_City
150,20148,AGU,,,0,America/Mexico_City
151,20149,AGU,1,1,0,America/Mexico_City
152,20150,AGU,1,1,0,America/Mexico_City
153,20151,AGU,,,0,America/Mexico_City
154,20152,AGU,,,0,America/Mexico_City
155,20153,AGU,,,0,America/Mexico_City
156,20154,AGU,,,0,America/Mexico_City
157,20155,AGU,,,0,America/Mexico_City
158,20156,AGU,,,0,America/Mexico_City
159,20157,AGU,1,1,0,America/Mexico_City
160,20158,AGU,1,1,0,America/Mexico_City
161,20159,AGU,1,1,0,America/Mexico_City
162,20160,AGU,1,1,0,America/Mexico_City
163,20161,AGU,,,0,America/Mexico_City
164,20162,AGU,,,0,America/Mexico_City
165,20163,AGU,,,0,America/Mexico_City
166,20164,AGU,1,1,0,America/Mexico_City
167,20165,AGU,,,0,America/Mexico_City
168,20166,AGU,,,0,America/Mexico_City
169,20167,AGU,,,0,America/Mexico_City
170,20168,AGU,,,0,America/Mexico_City
171,20169,AGU,1,1,0,America/Mexico_City
172,20170,AGU,1,1,0,America/Mexico_City
173,20171,AGU,,,0,America/Mexico_City
174,20172,AGU,1,1,0,America/Mexico_City
175,20173,AGU,,,0,America/Mexico_City
176,20174,AGU,1,1,0,America/Mexico_City
177,20175,AGU,1,1,0,America/Mexico_City
178,20176,AGU,,,0,America/Mexico_City
179,20177,AGU,1,1,0,America/Mexico_City
180,20178,AGU,,,0,America/Mexico_City
181,20179,AGU,1,1,0,America/Mexico_City
182,20180,AGU,1,1,0,America/Mexico_City
183,20181,AGU,,,0,America/Mexico_City
184,20182,AGU,,,0,America/Mexico_City
185,20183,AGU,,,0,America/Mexico_City
186,20184,AGU,,,0,America/Mexico_City
187,20185,AGU,,,0,America/Mexico_City
188,20186,AGU,,,0,America/Mexico_City
189,20187,AGU,,,0,America/Mexico_City
190,20188,AGU,,,0,America/Mexico_City
191,20189,AGU,,,0,America/Mexico_City
192,20190,AGU,1,1,0,America/Mexico_City
193,20191,AGU,,,0,America/Mexico_City
194,20192,AGU,,,0,America/Mexico_City
195,20193,AGU,,,0,America/Mexico_City
196,20194,AGU,,,0,America/Mexico_City
197,20195,AGU,,,0,America/Mexico_City
198,20196,AGU,1,1,0,America/Mexico_City
199,20197,AGU,,,0,America/Mexico_City
200,20198,AGU,1,1,0,America/Mexico_City
201,20199,AGU,1,1,0,America/Mexico_City
202,20200,AGU,1,1,0,America/Mexico_City
203,20201,AGU,,,0,America/Mexico_City
204,20202,AGU,,,0,America/Mexico_City
205,20203,AGU,,,0,America/Mexico_City
206,20204,AGU,,,0,America/Mexico_City
207,20205,AGU,1,1,0,America/Mexico_City
208,20206,AGU,1,1,0,America/Mexico_City
209,20207,AGU,1,1,0,America/Mexico_City
210,20208,AGU,1,1,0,America/Mexico_City
211,20209,AGU,,,0,America/Mexico_City
212,20210,AGU,1,1,0,America/Mexico_City
213,20211,AGU,,,0,America/Mexico_City
214,20212,AGU,,,0,America/Mexico_City
215,20213,AGU,,,0,America/Mexico_City
216,20214,AGU,,,0,America/Mexico_City
217,20215,AGU,,,0,America/Mexico_City
218,20216,AGU,1,1,0,America/Mexico_City
